ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,split,Days to deadline
1000007540,ToshiCapital Rekordz Needs Help to Complete Album,Music,Music,USD,2012-04-16 00:00:00,5000.0,2012-03-17 03:24:11,1.0,0,1,US,1.0,1.0,5000.0,-0.8809027922647696,29
1000014025,Monarch Espresso Bar,Restaurants,Food,USD,2016-04-01 00:00:00,50000.0,2016-02-26 13:38:27,52375.0,1,224,US,52375.0,52375.0,50000.0,0.2716939491639151,34
1000030581,Chaser Strips. Our Strips make Shots their B*tch!,Drinks,Food,USD,2016-03-17 00:00:00,25000.0,2016-02-01 20:05:12,453.0,0,40,US,453.0,453.0,25000.0,0.5656299075829242,44
100004721,Of Jesus and Madmen,Nonfiction,Publishing,CAD,2013-10-09 00:00:00,2500.0,2013-09-09 18:19:37,0.0,0,0,CA,0.0,0.0,2406.39,1.1193656699538508,29
100005484,Lisa Lim New CD!,Indie Rock,Music,USD,2013-04-08 00:00:00,12500.0,2013-03-09 06:42:58,12700.0,1,100,US,12700.0,12700.0,12500.0,-0.4783162712333724,29
1000055792,The Cottage Market,Crafts,Crafts,USD,2014-10-02 00:00:00,5000.0,2014-09-02 17:11:50,0.0,0,0,US,0.0,0.0,5000.0,-0.05594354715000592,29
1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,Games,Games,USD,2016-03-25 00:00:00,200000.0,2016-02-09 23:01:12,0.0,0,0,US,0.0,0.0,200000.0,0.5067675880091222,44
1000057089,Tombstone: Old West tabletop game and miniatures in 32mm.,Tabletop Games,Games,GBP,2017-05-03 00:00:00,5000.0,2017-04-05 19:44:18,94175.0,1,761,GB,57763.78,121857.33,6469.73,-1.1873886017580042,27
1000064368,Survival Rings,Design,Design,USD,2015-02-28 00:00:00,2500.0,2015-01-29 02:10:53,664.0,0,11,US,664.0,664.0,2500.0,1.2210913215318393,29
1000068480,Notes From London: Above & Below,Art Books,Publishing,USD,2015-05-10 00:00:00,3000.0,2015-04-10 21:20:54,789.0,0,20,US,789.0,789.0,3000.0,1.680364980792749,29
1000070642,Mike Corey's Darkness & Light Album,Music,Music,USD,2012-08-17 00:00:00,250.0,2012-08-02 14:11:32,250.0,1,7,US,250.0,250.0,250.0,0.8747591194027963,14
1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,2013-12-30 00:00:00,20000.0,2013-11-25 07:06:11,34268.0,1,624,US,34268.0,34268.0,20000.0,-1.0167335257686525,34
1000081649,MikeyJ clothing brand fundraiser,Childrenswear,Fashion,AUD,2017-09-07 00:00:00,2500.0,2017-08-08 01:20:20,1.0,0,1,AU,0.0,0.81,2026.1,0.4576776522300704,29
1000087442,Mountain brew: A quest for alcohol sustainability,Drinks,Food,NOK,2015-02-25 00:00:00,500.0,2015-01-26 19:17:33,48.0,0,3,NO,6.18,6.29,65.55,-0.9043260569056668,29
1000091520,The Book Zoo - A Mini-Comic,Comics,Comics,USD,2014-11-12 00:00:00,175.0,2014-10-23 17:15:50,701.66,1,66,US,701.66,701.66,175.0,-0.5305981696005838,19
1000102741,Matt Cavenaugh & Jenny Powers make their 1st album! ,Music,Music,USD,2011-01-06 00:00:00,10000.0,2010-12-07 23:16:50,15827.0,1,147,US,15827.0,15827.0,10000.0,0.3449723225673853,29
